Video Shots: 102

, frame_number: 9165 | start: 00:03:01 | end: 00:03:03 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 9410 | start: 00:03:03 | end: 00:03:08 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 9455 | start: 00:03:08 | end: 00:03:09 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 9770 | start: 00:03:09 | end: 00:03:15 | type: medium | goal: False | goal_mouth: True | audio: False 
, frame_number: 9805 | start: 00:03:15 | end: 00:03:16 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 12955 | start: 00:03:16 | end: 00:04:19 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 15895 | start: 00:04:28 | end: 00:05:34 | type: wide | goal: True | goal_mouth: False | audio: True 
, frame_number: 16350 | start: 00:05:34 | end: 00:05:43 | type: wide | goal: True | goal_mouth: True | audio: False 
, frame_number: 16460 | start: 00:05:43 | end: 00:05:46 | type: close | goal: False | goal_mouth: False | audio: True 
, frame_number: 16480 | start: 00:05:46 | end: 00:05:46 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 16630 | start: 00:05:46 | end: 00:05:49 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 16660 | start: 00:05:49 | end: 00:05:50 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 17215 | start: 00:05:50 | end: 00:06:01 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 17610 | start: 00:06:01 | end: 00:06:09 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 18140 | start: 00:06:09 | end: 00:06:19 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 18170 | start: 00:06:19 | end: 00:06:20 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 21735 | start: 00:07:10 | end: 00:07:31 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 22520 | start: 00:07:31 | end: 00:07:47 | type: medium | goal: False | goal_mouth: True | audio: True 
