Video Shots: 163

frame_number: 25530 | start: 509.8 | end: 510.7 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 26410 | start: 510.8 | end: 528.3 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 26710 | start: 528.4 | end: 534.3 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 27150 | start: 534.4 | end: 543.1 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 27595 | start: 543.2 | end: 552.0 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 28445 | start: 552.1 | end: 569.0 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 28590 | start: 569.1 | end: 571.9 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 29105 | start: 572.0 | end: 582.2 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 29720 | start: 582.3 | end: 594.5 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 30295 | start: 594.6 | end: 606.0 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 30695 | start: 606.1 | end: 614.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 31525 | start: 614.1 | end: 630.6 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 31695 | start: 630.7 | end: 634.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 32150 | start: 634.1 | end: 643.1 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 32340 | start: 643.2 | end: 646.9 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 32600 | start: 647.0 | end: 652.1 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 32740 | start: 652.2 | end: 654.9 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 33145 | start: 655.0 | end: 663.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 33250 | start: 663.1 | end: 665.1 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 33885 | start: 665.2 | end: 677.8 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 33995 | start: 677.9 | end: 680.0 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 34560 | start: 680.1 | end: 691.3 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 34640 | start: 691.4 | end: 692.9 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 35725 | start: 693.0 | end: 714.6 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 35865 | start: 714.7 | end: 717.4 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 36665 | start: 717.5 | end: 733.4 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 36750 | start: 733.5 | end: 735.1 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36785 | start: 735.2 | end: 735.8 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36810 | start: 735.9 | end: 736.3 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 36840 | start: 736.4 | end: 736.9 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36860 | start: 737.0 | end: 737.3 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 36880 | start: 737.4 | end: 737.7 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36905 | start: 737.8 | end: 738.2 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36925 | start: 738.3 | end: 738.6 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36945 | start: 738.7 | end: 739.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36965 | start: 739.1 | end: 739.4 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 37110 | start: 739.5 | end: 742.3 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 37135 | start: 742.4 | end: 742.8 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 37500 | start: 742.9 | end: 750.1 | type: medium | goal: False | goal_mouth: False | audio: False 
