Video Shots: 160

, frame_number: 16315 | start: 00:05:18 | end: 00:05:26 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 16355 | start: 00:05:26 | end: 00:05:27 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 16870 | start: 00:05:27 | end: 00:05:37 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 16915 | start: 00:05:37 | end: 00:05:38 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 23480 | start: 00:07:40 | end: 00:07:49 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 24795 | start: 00:07:52 | end: 00:08:16 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 24850 | start: 00:08:16 | end: 00:08:17 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 25480 | start: 00:08:17 | end: 00:08:29 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 25530 | start: 00:08:29 | end: 00:08:30 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 26410 | start: 00:08:30 | end: 00:08:48 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 26710 | start: 00:08:48 | end: 00:08:54 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 27150 | start: 00:08:54 | end: 00:09:03 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 27595 | start: 00:09:03 | end: 00:09:12 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 28445 | start: 00:09:12 | end: 00:09:29 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 28590 | start: 00:09:29 | end: 00:09:31 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 29105 | start: 00:09:32 | end: 00:09:42 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 29720 | start: 00:09:42 | end: 00:09:54 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 30295 | start: 00:09:54 | end: 00:10:06 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 30695 | start: 00:10:06 | end: 00:10:14 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 31525 | start: 00:10:14 | end: 00:10:30 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 31695 | start: 00:10:30 | end: 00:10:34 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 32150 | start: 00:10:34 | end: 00:10:43 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 32340 | start: 00:10:43 | end: 00:10:46 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 32600 | start: 00:10:47 | end: 00:10:52 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 32740 | start: 00:10:52 | end: 00:10:54 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 33145 | start: 00:10:55 | end: 00:11:03 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 33250 | start: 00:11:03 | end: 00:11:05 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 33885 | start: 00:11:05 | end: 00:11:17 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 33995 | start: 00:11:17 | end: 00:11:20 | type: medium | goal: False | goal_mouth: True | audio: False 
, frame_number: 34560 | start: 00:11:20 | end: 00:11:31 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 34640 | start: 00:11:31 | end: 00:11:32 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 35725 | start: 00:11:33 | end: 00:11:54 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 35865 | start: 00:11:54 | end: 00:11:57 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 36665 | start: 00:11:57 | end: 00:12:13 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 36750 | start: 00:12:13 | end: 00:12:15 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 36785 | start: 00:12:15 | end: 00:12:15 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 36810 | start: 00:12:15 | end: 00:12:16 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 36840 | start: 00:12:16 | end: 00:12:16 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 36860 | start: 00:12:17 | end: 00:12:17 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 36880 | start: 00:12:17 | end: 00:12:17 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 36905 | start: 00:12:17 | end: 00:12:18 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 36925 | start: 00:12:18 | end: 00:12:18 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 36945 | start: 00:12:18 | end: 00:12:19 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 36965 | start: 00:12:19 | end: 00:12:19 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 37110 | start: 00:12:19 | end: 00:12:22 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 37135 | start: 00:12:22 | end: 00:12:22 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 37500 | start: 00:12:22 | end: 00:12:30 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 37645 | start: 00:12:30 | end: 00:12:33 | type: close | goal: False | goal_mouth: False | audio: True 
, frame_number: 37695 | start: 00:12:33 | end: 00:12:34 | type: medium | goal: False | goal_mouth: False | audio: True 
, frame_number: 37860 | start: 00:12:34 | end: 00:12:37 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 38145 | start: 00:12:37 | end: 00:12:43 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 38430 | start: 00:12:43 | end: 00:12:48 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 38875 | start: 00:12:48 | end: 00:12:57 | type: medium | goal: False | goal_mouth: True | audio: False 
, frame_number: 39270 | start: 00:12:57 | end: 00:13:05 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 39490 | start: 00:13:05 | end: 00:13:09 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 41465 | start: 00:13:10 | end: 00:13:49 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 41820 | start: 00:13:49 | end: 00:13:56 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 42155 | start: 00:13:56 | end: 00:14:03 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 42430 | start: 00:14:03 | end: 00:14:08 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 43505 | start: 00:07:49 | end: 00:07:50 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 43595 | start: 00:14:08 | end: 00:14:32 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 43625 | start: 00:07:50 | end: 00:07:52 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 43685 | start: 00:14:32 | end: 00:14:33 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 43715 | start: 00:14:33 | end: 00:14:34 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 43750 | start: 00:14:34 | end: 00:14:35 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 43790 | start: 00:14:35 | end: 00:14:35 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 44650 | start: 00:14:36 | end: 00:14:53 | type: close-out | goal: False | goal_mouth: False | audio: False 
